no,fragment.daylight,fragments.manual.search,epi.value,std.dev,reg.avg,reg.median,reg.mode,avg.dist,hansch.pref
297,*S(=O)(=O)C#N,C1N1O2S1,1.1,0,1.1,1.1,1.1,1.1,1.1
298,FC(F)S(*)(=O)=O,C1H1F2O2S1,0.75,0,0.75,0.75,0.75,0.75,0.75
299,Cl[I](Cl)*,Cl2I1,,0,1.1,1.1,,1.1,1.1
300,ClP(Cl)(*)=O,Cl2O1P!,,0.01,0.79,0.79,,0.79,0.78
301,F[I](F)*,F2I1,,0,0.85,0.85,,0.85,0.85
302,F[I](F)(F)(F)*,F4I1,,0,1.07,1.07,,1.07,1.07
303,FP(F)(F)(F)*,F4P1,,0,0.63,0.63,0.63,0.63,0.63
304,FS(F)(F)(F)(F)*,F5S1,,0.008164966,0.6,0.6,,0.6,0.61
305,*[I](=O)=O,O2I1,,0.029439203,0.67,0.68,,0.67,0.68
306,*N=O,N1O1,,0,0.62,0.62,,0.62,0.62
307,ClC(*)=O,C1Cl1O1,,0.026925824,0.495,0.495,,0.495,0.51
308,FC(*)=O,C1F1O1,,0,0.55,0.55,,0.55,0.55
309,FC(F)(F)N=N*,C1F3N2,,0.065,0.495,0.495,,0.495,0.56
310,FC(F)(F)S(=O)(=O)O*,C1F3O3S1,,0,0.56,0.56,,0.56,0.56
311,*N=C=O,C1N1O1,,0.069442222,0.333333333,0.3,,0.333333333,
312,*N=C=S,C1N1S1,,0.070843137,0.4425,0.48,0.48,0.43,0.48
313,[O-]N(=O)C(*)(N([O-])=O)N([O-])=O,C1N3O6,,0,0.72,0.72,,0.72,0.72
314,FC(F)S(*)=O,C1H1F2O1S1,,0.08,0.62,0.62,,0.62,0.54
315,FC(F)(F)S(=O)(=O)N*,C1H1F3N1O2S1,,0,0.44,0.44,,0.44,0.44
318,NC(=O)N*,C1H3N2O1,,0.037416574,0.01,0,,0.01,-0.03
319,NC(=S)N*,N1H3N2S1,,0,0.22,0.22,,0.22,0.22
322,FOCN(*)COF,C2F2N1O2,,0,0.58,0.58,,0.58,0.58
324,FC(F)(F)S(*)=C=O,C2F3O1S1,,0,0.48,0.48,,0.48,0.48
325,FC(=O)N(*)C(F)(F)F,C2F4N1O1,,0.03,0.53,0.53,,0.53,0.5
326,FC(F)(F)N(*)C(F)(F)F,C2F6N1,,0.035,0.435,0.435,,0.435,0.4
327,FC(F)(F)S(=O)(=O)N(*)S(=O)(=O)C(F)(F)F,C2F6N1O4S2,,0.07,0.68,0.68,,0.68,0.61
328,FC(F)(F)P(*)C(F)(F)F,C2F6P1,,0,0.6,0.6,,0.6,0.6
335,FC(F)(F)S(=O)C*,C2H2F3O1S1,,0,0.25,0.25,,0.25,0.25
336,FC(F)(F)S(=O)(=O)C*,C2H2F3O2S1,,0,0.29,0.29,,0.29,0.29
340,ClCC(=O)N*,C2H3Cl1N1O1,,0.015,0.185,0.185,,0.185,0.17
345,CN(*)S(=O)(=O)C(F)(F)F,C2H3F3N1O2S1,,0,0.46,0.46,,0.46,0.46
346,CC(*)([N+]([O-])=O)[N+]([O-])=O,C2H3N2O4,,0,0.54,0.54,,0.54,0.54
350,NC(=O)C*,C2H4N1O1,,0.015,0.045,0.045,,0.045,0.06
352,[O-][N+](=O)CC*,C2H4N1O2,,0,0,0,,0,0
359,CN(*)S(C)(=O)=O,C2H6N1O2S1,,0.04,0.25,0.25,,0.25,0.21
360,CS(=O)(=O)N(*)S(C)(=O)=O,C2H6N1O4S2,,0,0.47,0.47,,0.47,0.47
361,FC(F)(F)C#C*,C3F3,,0,0.41,0.41,,0.41,0.41
362,FC(F)(F)C(=N*)C(F)(F)F,C3F6N1,,0,0.29,0.29,,0.29,0.29
363,FC(F)(F)C(F)(F)C(F)(F)*,C3F9,,0,0.44,0.44,,0.44,0.44
364,FC(F)(F)C(F)(*)C(F)(F)F,C3F7,,0.075865378,0.473333333,0.5,,0.473333333,0.37
368,OC(*)(C(F)(F)F)C(F)(F)F,C3H1F6O1,,0.024944383,0.316666667,0.31,,0.316666667,0.29
369,FC(F)(F)SC(*)SC(F)(F)F,C3H1F6S2,,0,0.44,0.44,,0.44,0.44
373,FC(F)(F)S(=O)(=O)\C=C\*,C3H2F3O2S1,,0,0.31,0.31,,0.31,0.31
393,CCC(*)([N+]([O-])=O)[N+]([O-])=O,C3H5N2O4,,0,0.56,0.56,,0.56,0.56
396,CCOC*,C3H5O1,,0,0.38,0.38,,0.38,0.38
404,NC(=O)CC*,C3H6N1O1,,0,-0.06,-0.06,,-0.06,-0.06
405,CCC(=O)N*,C3H6N1O1,,0,0.23,0.23,,0.23,0.23
406,CC(C)=NO*,C3H6N1O1,,0,0.29,0.29,,0.29,0.29
409,CC(C)(*)[N+]([O-])=O,C3H6N1O2,,0,0.18,0.18,,0.18,0.18
420,FC(F)(F)OCO[I](*)OCOC(F)(F)F,C4F6IO4,,0,1.28,1.28,,1.28,1.28
421,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)*,C4F9,,0.025,0.495,0.495,,0.495,0.47
422,FC(F)(F)SC(*)(SC(F)(F)F)SC(F)(F)F,C4F9S3,,0,0.51,0.51,,0.51,0.51
423,FC(F)(F)C(F)(F)C(F)(F)C*,C4H2F7,,0,0.08,0.08,,0.08,0.08
424,CC(*)(C#N)C#N,C4H3N2,,0,0.6,0.6,,0.6,0.6
432,COCN(*)COC,C4H6N1O2,,0,0.35,0.35,,0.35,0.35
442,NOCCCC*,C4H8N1O1,,0,-0.08,-0.08,,-0.08,-0.08
445,CC(C)(O)C*,C4H9O1,,0,-0.16,-0.16,,-0.16,-0.16
448,CCC(C)O*,C4H9O1,,0,0.25,0.25,,0.25,0.25
453,C[N](C)(C)*,C3H9N1,,0.142897987,0.952727273,0.99,0.99,0.949,0.88
465,CC(C)(C)OC*,C5H9O1,,0,0.27,0.27,,0.27,0.27
476,CCOP(=O)(C*)OCC,C5H12O2P1,,0,0.12,0.12,,0.12,0.12
477,ClC1=C(Cl)C(Cl)=C(*)C(Cl)=C1Cl,C6Cl5,,0.005,0.245,0.245,,0.245,0.24
478,FC1=C(F)C(F)=C(*)C(F)=C1F,C6F5,,0.200665559,0.16,0.26,,0.16,0.26
500,FC1=CC=C(O*)C=C1,C6H4F1O1,,0,-0.08,-0.08,,-0.08,-0.08
512,[O-][N+](=O)C1=CC=C(S*)C=C1,C6H4N1O2S1,,0,0.32,0.32,,0.32,0.32
517,[O-][N+](=O)C1=CC=C(OS*)C=C1,C6H4N1O3S1,,0,0.58,0.58,,0.58,0.58
519,*NC1=CC=CC=C1,C6H5N2,,0.059143547,0.271428571,0.29,0.28,0.264,0.32
520,*OS(=O)(=O)C1=CC=CC=C1,C6H5O3S1,,0.005,0.365,0.365,,0.365,0.36
521,*NS(=O)(=O)C1=CC=CC=C1,C6H6N1O2S1,,0.02,0.18,0.18,0.16,0.18,0.16
542,*OC(=O)C1=CC=CC=C1,C7H5O2,,0.056568542,0.29,0.33,0.33,0.27,
560,*CS(=O)(=O)C1=CC=CC=C1,C7H7O2S1,,0.045,0.195,0.195,,0.195,0.15
571,*SCC1=CC=CC=C1,C7H7S1,,0,0.23,0.23,,0.23,0.23
586,*CCONC1=CC=CC=C1,C8H8N1O1,,0,-0.11,-0.11,,-0.11,-0.11
587,COCN(*)C1=CC=CC=C1,C8H8N1O1,,0,0.19,0.19,,0.19,0.19
597,*CSCC1=CC=CC=C1,C8H9S1,,0,-0.03,-0.03,,-0.03,-0.03
598,*SCCC1=CC=CC=C1,C8H9S1,,0,0.21,0.21,,0.21,0.21
631,*CP(=O)(C1=CC=CC=C1)C1=CC=CC=C1,C13H12O1P1,,0,0.14,0.14,,0.14,0.14
